tcin,location_id,location_type_c,start_d,end_d
"13462173","4","STR","2022-08-07","9999-12-31"
"13462173","12","STR","2021-06-06","9999-12-31"
"13462173","13","STR","2021-06-06","9999-12-31"
"13462173","19","STR","2021-06-06","9999-12-31"
"13462173","26","STR","2021-06-06","9999-12-31"
"13462173","43","STR","2021-06-06","9999-12-31"
"13462173","48","STR","2023-02-26","9999-12-31"
"13462173","55","STR","2021-06-06","9999-12-31"
"13462173","61","STR","2021-08-15","9999-12-31"
"13462173","64","STR","2023-02-26","9999-12-31"
"13462173","67","STR","2021-06-06","9999-12-31"
"13462173","69","STR","2021-06-06","9999-12-31"
"13462173","75","STR","2021-06-06","9999-12-31"
"13462173","78","STR","2021-06-06","9999-12-31"
"13462173","79","STR","2023-02-26","9999-12-31"
"13462173","80","STR","2021-06-06","9999-12-31"
"13462173","83","STR","2021-06-06","9999-12-31"
"13462173","85","STR","2023-03-12","9999-12-31"
"13462173","86","STR","2021-06-06","9999-12-31"
"13462173","93","STR","2023-02-26","9999-12-31"
"13462173","95","STR","2021-06-06","9999-12-31"
"13462173","96","STR","2021-06-06","9999-12-31"
"13462173","108","STR","2021-06-06","9999-12-31"
"13462173","111","STR","2021-06-06","9999-12-31"
"13462173","137","STR","2021-06-06","9999-12-31"
"13462173","139","STR","2021-06-06","9999-12-31"
"13462173","147","STR","2023-02-26","9999-12-31"
"13462173","154","STR","2023-02-26","9999-12-31"
"13462173","158","STR","2021-06-06","9999-12-31"
"13462173","167","STR","2021-02-28","9999-12-31"
"13462173","171","STR","2021-06-06","9999-12-31"
"13462173","176","STR","2021-06-06","9999-12-31"
"13462173","184","STR","2021-06-06","9999-12-31"
"13462173","188","STR","2021-06-06","9999-12-31"
"13462173","190","STR","2021-06-06","9999-12-31"
"13462173","192","STR","2021-06-06","9999-12-31"
"13462173","193","STR","2021-06-06","9999-12-31"
"13462173","195","STR","2021-06-06","9999-12-31"
"13462173","198","STR","2021-06-06","9999-12-31"
"13462173","199","STR","2021-06-06","9999-12-31"
"13462173","200","STR","2021-06-06","9999-12-31"
"13462173","201","STR","2021-06-06","9999-12-31"
"13462173","203","STR","2021-06-06","9999-12-31"
"13462173","205","STR","2021-06-06","9999-12-31"
"13462173","212","STR","2021-06-06","9999-12-31"
"13462173","217","STR","2021-06-06","9999-12-31"
"13462173","221","STR","2021-06-06","9999-12-31"
"13462173","222","STR","2021-06-06","9999-12-31"
"13462173","226","STR","2021-06-06","9999-12-31"
"13462173","227","STR","2021-06-06","9999-12-31"
"13462173","229","STR","2021-06-06","9999-12-31"
"13462173","230","STR","2021-06-06","9999-12-31"
"13462173","233","STR","2021-06-06","9999-12-31"
"13462173","238","STR","2021-06-06","9999-12-31"
"13462173","239","STR","2021-06-06","9999-12-31"
"13462173","245","STR","2021-06-06","9999-12-31"
"13462173","246","STR","2021-06-06","9999-12-31"
"13462173","249","STR","2021-06-06","9999-12-31"
"13462173","250","STR","2021-06-06","9999-12-31"
"13462173","251","STR","2021-06-06","9999-12-31"
"13462173","254","STR","2021-06-06","9999-12-31"
"13462173","255","STR","2021-06-06","9999-12-31"
"13462173","256","STR","2023-02-26","9999-12-31"
"13462173","257","STR","2021-06-06","9999-12-31"
"13462173","258","STR","2021-06-06","9999-12-31"
"13462173","264","STR","2021-06-06","9999-12-31"
"13462173","265","STR","2021-06-06","9999-12-31"
"13462173","271","STR","2023-02-26","9999-12-31"
"13462173","273","STR","2021-06-06","9999-12-31"
"13462173","274","STR","2021-06-06","9999-12-31"
"13462173","275","STR","2021-06-06","9999-12-31"
"13462173","278","STR","2021-06-06","9999-12-31"
"13462173","279","STR","2022-10-02","9999-12-31"
"13462173","280","STR","2021-06-06","9999-12-31"
"13462173","282","STR","2021-06-06","9999-12-31"
"13462173","288","STR","2021-06-06","9999-12-31"
"13462173","289","STR","2021-06-06","9999-12-31"
"13462173","290","STR","2021-06-06","9999-12-31"
"13462173","291","STR","2021-06-06","9999-12-31"
"13462173","293","STR","2021-06-06","9999-12-31"
"13462173","294","STR","2021-06-06","9999-12-31"
"13462173","296","STR","2021-06-06","9999-12-31"
"13462173","298","STR","2021-06-06","9999-12-31"
"13462173","299","STR","2021-06-06","9999-12-31"
"13462173","300","STR","2021-06-06","9999-12-31"
"13462173","301","STR","2021-06-06","9999-12-31"
"13462173","302","STR","2021-06-06","9999-12-31"
"13462173","303","STR","2021-06-06","9999-12-31"
"13462173","304","STR","2021-06-06","9999-12-31"
"13462173","305","STR","2021-06-06","9999-12-31"
"13462173","307","STR","2021-06-06","9999-12-31"
"13462173","309","STR","2021-06-06","9999-12-31"
"13462173","310","STR","2021-06-06","9999-12-31"
"13462173","311","STR","2021-06-06","9999-12-31"
"13462173","312","STR","2021-06-06","9999-12-31"
"13462173","313","STR","2021-06-06","9999-12-31"
"13462173","314","STR","2021-06-06","9999-12-31"
"13462173","317","STR","2021-06-06","9999-12-31"
"13462173","318","STR","2021-06-06","9999-12-31"
"13462173","319","STR","2021-06-06","9999-12-31"
"13462173","320","STR","2021-06-06","9999-12-31"
"13462173","321","STR","2021-06-06","9999-12-31"
"13462173","322","STR","2021-06-06","9999-12-31"
"13462173","323","STR","2021-05-30","9999-12-31"
"13462173","324","STR","2021-06-06","9999-12-31"
"13462173","328","STR","2021-06-06","9999-12-31"
"13462173","330","STR","2021-06-06","9999-12-31"
"13462173","331","STR","2021-06-06","9999-12-31"
"13462173","335","STR","2021-06-06","9999-12-31"
"13462173","336","STR","2021-06-06","9999-12-31"
"13462173","337","STR","2021-06-06","9999-12-31"
"13462173","338","STR","2021-06-06","9999-12-31"
"13462173","339","STR","2021-06-06","9999-12-31"
"13462173","341","STR","2021-06-06","9999-12-31"
"13462173","342","STR","2021-06-06","9999-12-31"
"13462173","343","STR","2021-06-06","9999-12-31"
"13462173","344","STR","2021-06-06","9999-12-31"
"13462173","345","STR","2021-06-06","9999-12-31"
"13462173","346","STR","2021-06-06","9999-12-31"
"13462173","347","STR","2021-06-06","9999-12-31"
"13462173","348","STR","2021-06-06","9999-12-31"
"13462173","349","STR","2021-06-06","9999-12-31"
"13462173","350","STR","2021-06-06","9999-12-31"
"13462173","351","STR","2021-06-06","9999-12-31"
"13462173","353","STR","2021-06-06","9999-12-31"
"13462173","354","STR","2021-06-06","9999-12-31"
"13462173","358","STR","2021-06-06","9999-12-31"
"13462173","359","STR","2021-06-06","9999-12-31"
"13462173","361","STR","2021-06-06","9999-12-31"
"13462173","362","STR","2022-03-27","9999-12-31"
"13462173","364","STR","2021-06-06","9999-12-31"
"13462173","365","STR","2021-06-06","9999-12-31"
"13462173","366","STR","2021-06-06","9999-12-31"
"13462173","373","STR","2021-06-06","9999-12-31"
"13462173","397","STR","2021-06-06","9999-12-31"
"13462173","530","STR","2021-06-06","9999-12-31"
"13462173","532","STR","2021-06-06","9999-12-31"
"13462173","533","STR","2021-06-06","9999-12-31"
"13462173","551","DC","2021-02-28","9999-12-31"
"13462173","553","DC","2021-02-28","9999-12-31"
"13462173","554","DC","2021-06-06","9999-12-31"
"13462173","555","DC","2021-02-28","9999-12-31"
"13462173","556","DC","2021-04-14","9999-12-31"
"13462173","557","DC","2021-02-28","9999-12-31"
"13462173","558","DC","2014-06-08","9999-12-31"
"13462173","559","DC","2021-02-28","9999-12-31"
"13462173","560","DC","2021-02-28","9999-12-31"
"13462173","578","DC","2021-02-28","9999-12-31"
"13462173","579","DC","2021-06-06","9999-12-31"
"13462173","580","DC","2021-02-28","9999-12-31"
"13462173","587","DC","2021-02-28","9999-12-31"
"13462173","588","DC","2021-02-28","9999-12-31"
"13462173","589","DC","2023-08-27","2024-01-06"
"13462173","590","DC","2021-02-28","9999-12-31"
"13462173","593","DC","2021-06-06","9999-12-31"
"13462173","594","DC","2021-05-23","9999-12-31"
"13462173","604","STR","2021-06-06","9999-12-31"
"13462173","606","STR","2021-06-06","9999-12-31"
"13462173","607","STR","2021-06-06","9999-12-31"
"13462173","608","STR","2021-06-06","9999-12-31"
"13462173","609","STR","2021-06-06","9999-12-31"
"13462173","610","STR","2021-06-06","9999-12-31"
"13462173","612","STR","2021-06-06","9999-12-31"
"13462173","613","STR","2021-06-06","9999-12-31"
"13462173","614","STR","2021-06-06","9999-12-31"
"13462173","615","STR","2021-06-06","9999-12-31"
"13462173","616","STR","2021-06-06","9999-12-31"
"13462173","617","STR","2021-06-06","9999-12-31"
"13462173","618","STR","2023-02-26","9999-12-31"
"13462173","619","STR","2021-06-06","9999-12-31"
"13462173","620","STR","2021-06-06","9999-12-31"
"13462173","622","STR","2021-02-28","9999-12-31"
"13462173","623","STR","2021-06-06","9999-12-31"
"13462173","624","STR","2021-06-06","9999-12-31"
"13462173","626","STR","2021-06-06","9999-12-31"
"13462173","627","STR","2021-06-06","9999-12-31"
"13462173","628","STR","2023-03-19","9999-12-31"
"13462173","632","STR","2021-06-06","9999-12-31"
"13462173","634","STR","2021-06-06","9999-12-31"
"13462173","636","STR","2021-06-06","9999-12-31"
"13462173","637","STR","2021-06-06","9999-12-31"
"13462173","638","STR","2021-06-06","9999-12-31"
"13462173","639","STR","2021-06-06","9999-12-31"
"13462173","641","STR","2021-06-06","9999-12-31"
"13462173","642","STR","2021-06-06","9999-12-31"
"13462173","645","STR","2021-06-06","9999-12-31"
"13462173","647","STR","2021-06-06","9999-12-31"
"13462173","649","STR","2021-06-06","9999-12-31"
"13462173","650","STR","2021-06-06","9999-12-31"
"13462173","652","STR","2021-06-06","9999-12-31"
"13462173","654","STR","2021-06-06","9999-12-31"
"13462173","655","STR","2021-06-06","9999-12-31"
"13462173","656","STR","2021-06-06","9999-12-31"
"13462173","660","STR","2021-06-06","9999-12-31"
"13462173","664","STR","2021-06-06","9999-12-31"
"13462173","665","STR","2021-06-06","9999-12-31"
"13462173","666","STR","2021-06-06","9999-12-31"
"13462173","669","STR","2021-06-06","9999-12-31"
"13462173","670","STR","2021-06-06","9999-12-31"
"13462173","671","STR","2021-06-06","9999-12-31"
"13462173","672","STR","2021-06-06","9999-12-31"
"13462173","673","STR","2021-06-06","9999-12-31"
"13462173","675","STR","2021-06-06","9999-12-31"
"13462173","676","STR","2022-02-06","9999-12-31"
"13462173","677","STR","2021-06-06","9999-12-31"
