lno,tcin,location_id,effective_d,expiry_d,regular_retail_a,current_retail_a,channel_n
2,"13462173","3297","2023-10-22","","0.0","0.0","STORE"
3,"13462173","3358","2023-10-22","","0.0","0.0","STORE"
4,"13462173","3281","2023-10-22","","0.0","0.0","STORE"
5,"13462173","3330","2023-10-24","","0.0","0.0","STORE"
6,"13462173","3286","2023-10-24","","0.0","0.0","STORE"
7,"13462173","3381","2023-10-25","","0.0","0.0","STORE"
8,"13462173","201","2023-10-29","","17.99","16.99","STORE"
9,"13462173","288","2023-10-29","","17.99","16.99","STORE"
10,"13462173","1411","2023-10-29","","17.99","16.99","STORE"
11,"13462173","2034","2023-10-29","","17.99","16.99","STORE"
12,"13462173","2083","2023-10-29","","17.99","16.99","STORE"
13,"13462173","2455","2023-10-29","","17.99","16.99","STORE"
14,"13462173","3240","2023-10-29","","17.99","16.99","STORE"
15,"13462173","3308","2023-10-29","","17.99","16.99","STORE"
16,"13462173","1824","2023-10-29","","17.99","16.99","STORE"
17,"13462173","1869","2023-10-29","","17.99","16.99","STORE"
18,"13462173","1961","2023-10-29","","17.99","16.99","STORE"
19,"13462173","842","2023-10-29","","17.99","16.99","STORE"
20,"13462173","2276","2023-10-29","","17.99","16.99","STORE"
21,"13462173","1776","2023-10-29","","17.99","16.99","STORE"
22,"13462173","2214","2023-10-29","","17.99","16.99","STORE"
23,"13462173","2467","2023-10-29","","17.99","16.99","STORE"
24,"13462173","2052","2023-10-29","","17.99","16.99","STORE"
25,"13462173","2046","2023-10-29","","16.99","15.99","STORE"
26,"13462173","2727","2023-10-29","","17.99","16.99","STORE"
27,"13462173","2774","2023-10-29","","17.99","16.99","STORE"
28,"13462173","2897","2023-10-29","","17.99","16.99","STORE"
29,"13462173","3205","2023-10-29","","17.99","16.99","STORE"
30,"13462173","945","2023-10-29","","17.99","16.99","STORE"
31,"13462173","2376","2023-10-29","","17.99","16.99","STORE"
32,"13462173","226","2023-10-29","","17.99","16.99","STORE"
33,"13462173","318","2023-10-29","","17.99","16.99","STORE"
34,"13462173","862","2023-10-29","","16.99","15.99","STORE"
35,"13462173","1375","2023-10-29","","16.99","15.99","STORE"
36,"13462173","1857","2023-10-29","","17.99","16.99","STORE"
37,"13462173","1895","2023-10-29","","17.99","16.99","STORE"
38,"13462173","212","2023-10-29","","17.99","16.99","STORE"
39,"13462173","188","2023-10-29","","17.99","16.99","STORE"
40,"13462173","851","2023-10-29","","17.99","16.99","STORE"
41,"13462173","685","2023-10-29","","17.99","16.99","STORE"
42,"13462173","807","2023-10-29","","17.99","16.99","STORE"
43,"13462173","1022","2023-10-29","","17.99","16.99","STORE"
44,"13462173","1482","2023-10-29","","17.99","16.99","STORE"
45,"13462173","2128","2023-10-29","","17.99","16.99","STORE"
46,"13462173","2363","2023-10-29","","17.99","16.99","STORE"
47,"13462173","2089","2023-10-29","","17.99","16.99","STORE"
48,"13462173","2245","2023-10-29","","17.99","16.99","STORE"
49,"13462173","3422","2023-10-29","","17.99","16.99","STORE"
50,"13462173","1918","2023-10-29","","17.99","16.99","STORE"
51,"13462173","61","2023-10-29","","17.99","16.99","STORE"
52,"13462173","1469","2023-10-29","","17.99","16.99","STORE"
53,"13462173","2069","2023-10-29","","17.99","16.99","STORE"
54,"13462173","2288","2023-10-29","","17.99","16.99","STORE"
55,"13462173","2423","2023-10-29","","17.99","16.99","STORE"
56,"13462173","2721","2023-10-29","","17.99","16.99","STORE"
57,"13462173","2739","2023-10-29","","17.99","16.99","STORE"
58,"13462173","3278","2023-10-29","","17.99","16.99","STORE"
59,"13462173","927","2023-10-29","","17.99","16.99","STORE"
60,"13462173","961","2023-10-29","","17.99","16.99","STORE"
61,"13462173","1185","2023-10-29","","16.99","15.99","STORE"
62,"13462173","1418","2023-10-29","","17.99","16.99","STORE"
63,"13462173","664","2023-10-29","","16.99","15.99","STORE"
64,"13462173","947","2023-10-29","","17.99","16.99","STORE"
65,"13462173","1327","2023-10-29","2023-11-19","17.99","16.99","STORE"
66,"13462173","1047","2023-10-29","2023-11-19","17.99","16.99","STORE"
67,"13462173","1101","2023-10-29","2023-11-19","17.99","16.99","STORE"
68,"13462173","2272","2023-10-29","2023-11-19","17.99","16.99","STORE"
69,"13462173","1816","2023-10-29","2023-11-19","17.99","16.99","STORE"
70,"13462173","2033","2023-10-29","","17.99","16.99","STORE"
71,"13462173","2088","2023-10-29","","17.99","16.99","STORE"
72,"13462173","2275","2023-10-29","","17.99","16.99","STORE"
73,"13462173","2784","2023-10-29","","17.99","16.99","STORE"
74,"13462173","2091","2023-10-29","","17.99","16.99","STORE"
75,"13462173","876","2023-10-29","","17.99","16.99","STORE"
76,"13462173","2106","2023-10-29","","17.99","16.99","STORE"
77,"13462173","898","2023-10-29","2023-11-19","17.99","16.99","STORE"
78,"13462173","222","2023-10-29","","17.99","16.99","STORE"
79,"13462173","1770","2023-10-29","","17.99","16.99","STORE"
80,"13462173","48","2023-10-29","","17.99","16.99","STORE"
81,"13462173","3378","2023-10-29","2023-11-19","17.99","16.99","STORE"
82,"13462173","1812","2023-10-29","2023-11-19","17.99","16.99","STORE"
83,"13462173","1141","2023-10-29","2023-11-19","17.99","16.99","STORE"
84,"13462173","1274","2023-10-29","2023-11-19","17.99","16.99","STORE"
85,"13462173","755","2023-10-29","2023-11-19","17.99","16.99","STORE"
86,"13462173","2338","2023-10-29","2023-11-19","17.99","16.99","STORE"
87,"13462173","1922","2023-10-29","2023-11-19","17.99","16.99","STORE"
88,"13462173","696","2023-10-29","2023-11-19","17.99","16.99","STORE"
89,"13462173","830","2023-10-29","2023-11-19","17.99","16.99","STORE"
90,"13462173","1760","2023-10-29","2023-11-19","17.99","16.99","STORE"
91,"13462173","1430","2023-10-29","2023-11-19","17.99","16.99","STORE"
92,"13462173","2208","2023-10-29","2023-11-19","17.99","16.99","STORE"
93,"13462173","650","2023-10-29","2023-11-19","17.99","16.99","STORE"
94,"13462173","2022","2023-10-29","2023-11-19","17.99","16.99","STORE"
95,"13462173","227","2023-10-29","","17.99","16.99","STORE"
96,"13462173","1792","2023-10-29","","17.99","16.99","STORE"
97,"13462173","1924","2023-10-29","","17.99","16.99","STORE"
98,"13462173","2165","2023-10-29","","17.99","16.99","STORE"
99,"13462173","2280","2023-10-29","","17.99","16.99","STORE"
100,"13462173","2456","2023-10-29","","16.99","15.99","STORE"
101,"13462173","3302","2023-10-29","","17.99","16.99","STORE"
102,"13462173","922","2023-10-29","","17.99","16.99","STORE"
103,"13462173","13","2023-10-29","","17.99","16.99","STORE"
104,"13462173","1380","2023-10-29","","17.99","16.99","STORE"
105,"13462173","1025","2023-10-29","","17.99","16.99","STORE"
106,"13462173","1409","2023-10-29","","17.99","16.99","STORE"
107,"13462173","2217","2023-10-29","","17.99","16.99","STORE"
108,"13462173","2425","2023-10-29","","17.99","16.99","STORE"
109,"13462173","3346","2023-10-29","","17.99","16.99","STORE"
110,"13462173","918","2023-10-29","","17.99","16.99","STORE"
111,"13462173","250","2023-10-29","","17.99","16.99","STORE"
112,"13462173","850","2023-10-29","","17.99","16.99","STORE"
113,"13462173","1338","2023-10-29","","17.99","17.99","STORE"
114,"13462173","1815","2023-10-29","","17.99","16.99","STORE"
115,"13462173","3420","2023-10-29","","17.99","16.99","STORE"
