x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,y
2248400,25.31,2.14,2.14,15.62,15.62,3.69,3.69,13.14,13.14,1084636.00,5.41,235990000,100,0
770700,14.21,1.79,1.79,3.8,3.8,4.33,4.33,9.48,9.48,1088205.00,6.32,2350000000,100,0
553100,16.05,2.88,2.88,4.42,4.42,8.01,8.01,2.03,2.03,1379988.00,50.67,10600000000,100,0
1750800,35.82,5.35,5.35,5.94,5.94,11.69,11.69,7.34,7.34,704325.00,20.39,942640000,100,0
630000,17.35,23.05,23.05,32.95,32.95,24.37,24.37,18.43,18.43,174679.00,-2.98,59790000,100,0
13869700,25.95,3.72,3.72,10.61,10.61,13.67,13.67,26.83,26.83,70615000.00,-7.13,14920000000,100,0
1837100,28.28,2.09,2.09,3.59,3.59,-2.68,2.68,-0.46,0.46,321084.00,25.88,4590000000,100,0
6022500,11.23,4.95,4.95,7.26,7.26,8.4,8.4,36.62,36.62,5393037.00,29.99,1970000000,100,0
161200,10.55,2.43,2.43,0.96,0.96,4.46,4.46,8.76,8.76,5393037.00,29.99,481540000,100,1
646400,17.14,-1.38,1.38,4.13,4.13,-7,7,4.7,4.7,257664.00,28.69,4520000000,100,1
312600,24.25,-2.61,2.61,3.85,3.85,12.79,12.79,20.05,20.05,5393037.00,29.99,757930000,100,1
462000,28.89,1.73,1.73,4.11,4.11,12.59,12.59,6.37,6.37,193118.00,16.98,611780000,100,1
3544800,36.19,5.73,5.73,5.91,5.91,0.42,0.42,-3.11,3.11,5393037.00,29.99,1950000000,100.06,0
149700,33.33,5.24,5.24,9.28,9.28,23.67,23.67,29.24,29.24,0.00,0,1020000000,100.06,0
83400,28.71,2.5,2.5,6.14,6.14,8.67,8.67,6.69,6.69,102932.00,12.19,375200000,100.07,0
2123200,22.7,1.57,1.57,6.32,6.32,13.84,13.84,1.38,1.38,2156.00,-30.25,3490000000,100.09,1
348100,17.93,6.16,6.16,13.77,13.77,3.22,3.22,-8.85,8.85,601161.00,82.1,1050000000,100.12,0
