f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,y
0.000000,0.000000,0.000000,0.000000,0.000000,0.016850,0.013158,0.000000,0.000000,0.297297,0.000000,0.000000,0.000000,0.000000,0.947400,0.000000,0.479592,0.000000,0.636364,0.500000,0
0.094200,0.009075,0.000000,1.000000,0.045106,0.001859,0.118421,0.038462,0.005650,0.054054,0.125000,0.000000,0.085714,0.094876,0.857100,0.085506,0.661224,0.260870,0.545455,0.500000,0
0.092630,0.000000,0.000000,0.000000,0.000000,0.005947,0.000000,0.000000,0.042373,0.000000,0.011364,0.000000,0.000000,0.046355,0.500000,0.000000,0.651020,0.826087,0.181818,1.000000,1
0.000000,0.000000,0.000000,0.000000,0.000000,0.281749,0.000000,0.000000,0.033898,0.054054,0.000000,0.000000,0.000000,0.000000,0.666700,0.000000,0.393878,0.913043,0.090909,1.000000,0
0.071683,0.003688,0.000000,0.000000,0.056545,0.002850,0.065789,0.038462,0.011299,0.081081,0.045455,0.000000,0.057143,0.100626,0.823500,0.125130,0.602041,0.869565,0.545455,1.000000,1
0.001524,0.007627,0.000000,0.000000,0.075949,0.001239,0.013158,0.000000,0.000000,0.000000,0.045455,0.363636,0.114286,0.002002,0.875000,0.067779,0.630612,0.739130,0.363636,0.500000,0
0.004187,0.000579,0.000000,0.000000,0.466667,0.004832,0.000000,0.000000,0.062147,0.135135,0.011364,0.000000,0.028571,0.002095,0.857100,0.630866,0.312245,0.652174,0.727273,0.500000,0
0.003955,0.003379,0.000000,0.000000,0.080000,0.004460,0.000000,0.000000,0.000000,0.000000,0.011364,0.090909,0.028571,0.001979,1.000000,0.372263,0.687755,0.913043,0.363636,1.000000,1
0.080441,0.005793,0.000000,0.000000,0.033333,0.003098,0.000000,0.000000,0.000000,0.027027,0.034091,0.090909,0.028571,0.060325,1.000000,0.258081,0.712245,0.695652,0.818182,0.500000,0
0.026566,0.000869,0.000000,0.000000,0.000000,0.024284,0.000000,0.000000,0.000000,0.027027,0.068182,0.000000,0.142857,0.034085,1.000000,0.000000,0.600000,0.086957,0.909091,0.500000,0
0.081356,0.002317,0.000000,0.000000,0.273333,0.002478,0.000000,0.000000,0.079096,0.027027,0.102273,0.090909,0.114286,0.069963,0.857100,0.236705,0.616327,0.608696,0.636364,1.000000,0
