f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,class
486.0,1.0,0.0,0,4,8,10,0,1843,820.125,0.0,0.0,1019.0,0.0,0.0,0.0,0.0,0
410.0,0.3333,0.0,1,5,5,6,0,281,179.4,0.0,0.0,12.0,0.0,3.0,2.0,1.0,0
524.0,1.0,0.0,0,1,2,4,0,1270,742.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
564.0,0.875,0.422,0,5,8,9,0,1005,516.75,1550.0,0.0,15.0,0.02903225806451613,21.0,0.0,0.0,0
526.0,0.5,0.0,0,1,3,2,0,1925,1389.666666666667,0.0,0.0,35.0,0.0,3.0,0.0,0.0,0
592.0,0.7692,0.0,2,4,5,1,0,896,283.8,0.0,0.0,42.0,0.0,17.0,3.0,17.0,0
488.0,0.6,0.998,0,3,8,1,0,3839,2115.625,12700.0,0.05409448818897638,26.0,0.02503937007874016,0.0,0.0,42.0,0
526.0,0.9487,0.578,0,7,24,0,0,9315,3320.875,332980.0,0.0,7.0,0.012454201453540752,2.0,0.0,0.0,0
519.0,0.5263,0.0,0,4,11,31,0,2369,1038.2727272727273,0.0,0.0,1980.0,0.0,0.0,0.0,162.0,0
587.0,0.5455,0.0,0,4,9,4,0,1939,1218.5555555555557,0.0,0.0,62.0,0.0,0.0,0.0,5.0,0
609.0,1.0,0.0,0,2,5,7,0,11017,2730.6,8800.0,0.0,62.0,0.0,0.0,0.0,0.0,1
567.0,0.95,0.713,1,10,13,4,0,1301,541.3076923076924,5800.0,0.0,13.0,0.03982758620689656,2.0,0.0,0.0,0
537.0,0.1538,0.0,0,3,4,4,0,1127,683.5,0.0,0.0,1130.0,0.0,0.0,0.0,167.0,0
561.0,0.1538,0.0,0,1,3,3,0,1353,967.0,0.0,0.0,1356.0,0.0,0.0,0.0,167.0,0
561.0,0.1538,0.0,0,1,3,3,0,1353,967.0,0.0,0.0,1356.0,0.0,0.0,0.0,167.0,1
561.0,0.1538,0.0,0,1,3,3,0,1353,967.0,0.0,0.0,1356.0,0.0,0.0,0.0,167.0,0
561.0,0.1538,0.0,0,1,3,3,0,1354,968.0,0.0,0.0,1357.0,0.0,0.0,0.0,167.0,0
561.0,0.1538,0.0,0,1,3,3,0,1353,967.0,0.0,0.0,1356.0,0.0,0.0,0.0,167.0,0
509.0,0.9167,0.0,0,0,5,8,0,3906,1634.8,0.0,0.0,1644.0,0.0,1.0,1.0,0.0,0
488.0,1.0,0.0,0,1,1,2,0,227,227.0,0.0,0.0,423.0,0.0,0.0,0.0,4.0,0
479.0,0.9231,0.0,1,9,12,21,1,3097,729.75,0.0,0.0,39.0,0.0,9.0,11.0,4.0,0
583.0,1.0,0.0,0,0,5,5,0,2202,2028.0,0.0,0.0,2292.0,0.0,0.0,0.0,0.0,0
582.0,1.0,0.0,1,4,6,6,0,1406,635.5,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0
516.0,0.75,0.0,0,2,2,1,0,696,400.0,300.0,0.0,29.0,0.0,2.0,1.0,2.0,0
485.0,0.7143,0.0,1,3,4,6,0,3428,1041.5,0.0,0.0,191.0,0.0,0.0,2.0,20.0,0
434.0,0.2,0.0,0,5,12,9,0,1501,922.1666666666665,0.0,0.0,618.0,0.0,0.0,0.0,32.0,0
545.0,0.9143,0.0,0,2,2,11,0,504,395.5,0.0,0.0,452.0,0.0,0.0,0.0,27.0,0
548.0,1.0,0.0,0,2,2,6,0,313,217.5,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0
549.0,1.0,0.0,0,1,1,5,0,151,151.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,0
547.0,1.0,0.0,0,2,2,6,0,333,237.5,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0
498.0,1.0,0.0,0,1,1,5,0,195,195.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0
473.0,0.4444,0.0,0,4,23,9,0,6161,2108.782608695652,0.0,0.0,28.0,0.0,11.0,5.0,45.0,0
609.0,0.6842,0.355,0,4,6,8,1,2659,1060.3333333333333,1300.0,0.0,50.0,0.015384615384615384,16.0,8.0,11.0,0
628.0,1.0,0.868,0,1,1,0,0,221,221.0,400.0,0.0,42.0,0.05,0.0,0.0,0.0,1
524.0,0.2667,0.0,1,3,6,8,0,1362,691.0,0.0,0.0,777.0,0.0,0.0,0.0,96.0,0
428.0,0.75,0.0,0,1,3,0,0,1906,1366.3333333333333,0.0,0.0,14.0,0.0,3.0,3.0,2.0,1
541.0,0.9091,0.0,0,6,7,9,0,2463,699.0,500.0,0.0,218.0,0.0,5.0,2.0,4.0,0
535.0,0.6905,0.0,0,3,6,15,0,1512,759.1666666666665,0.0,0.0,25.0,0.0,18.0,7.0,90.0,0
535.0,0.6905,0.0,0,3,6,15,0,1512,759.1666666666665,0.0,0.0,25.0,0.0,18.0,7.0,90.0,0
590.0,1.0,0.858,0,4,10,9,0,1701,939.0,500.0,0.0,35.0,0.054000000000000006,0.0,0.0,0.0,0
638.0,0.875,0.0,0,0,0,0,0,0,0.0,0.0,0.0,854.0,0.0,1.0,2.0,0.0,0
509.0,1.0,0.0,0,1,1,2,0,693,693.0,0.0,0.0,1116.0,0.0,0.0,0.0,0.0,0
557.0,1.0,0.0,0,1,1,1,0,430,430.0,0.0,0.0,150.0,0.0,0.0,0.0,0.0,0
561.0,1.0,0.0,0,1,1,1,0,405,405.0,0.0,0.0,125.0,0.0,0.0,0.0,0.0,0
505.0,1.0,0.0,0,1,2,3,0,1022,638.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
503.0,0.8182,0.7809999999999999,0,1,6,0,0,5828,1859.0,13200.0,0.05431818181818182,64.0,0.037424242424242415,2.0,2.0,1.0,0
549.0,1.0,0.0,0,1,3,2,0,1039,730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
375.0,0.0,1.28,0,1,1,0,0,205,205.0,300.0,0.17333333333333334,60.0,0.15333333333333332,1.0,0.0,0.0,0
555.0,1.0,0.0,0,0,2,2,0,968,950.5,0.0,0.0,699.0,0.0,0.0,0.0,6.0,0
433.0,1.0,0.0,1,4,18,19,0,1814,1212.388888888889,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0
479.0,0.75,1.006,0,3,7,5,0,2672,1154.4285714285713,500.0,1.4580000000000002,53.0,0.042,15.0,8.0,15.0,0
620.0,0.75,0.0,0,0,2,2,0,2530,1722.0,0.0,0.0,22.0,0.0,0.0,0.0,20.0,0
545.0,0.6364,0.0,1,2,7,9,0,2318,1320.0,0.0,0.0,48.0,0.0,0.0,4.0,38.0,0
515.0,1.0,0.0,0,2,6,7,0,6719,1993.333333333333,5870.0,0.04139693356047701,72.0,0.025383304940374787,0.0,0.0,0.0,0
482.0,0.6667,0.0,0,0,2,3,0,1729,1546.0,0.0,0.0,34.0,0.0,0.0,0.0,3.0,0
471.0,0.5385,0.0,0,4,11,4,0,2147,1128.7272727272727,0.0,0.0,445.0,0.0,0.0,0.0,40.0,1
577.0,0.5882,0.01,0,2,8,22,0,4010,1377.875,5400.0,0.0,17.0,0.001851851851851852,15.0,0.0,117.0,0
524.0,0.8462,0.0,0,0,2,3,0,1694,1310.5,0.0,0.0,41.0,0.0,11.0,12.0,2.0,0
489.0,0.8182,1.116,0,2,8,0,0,2407,1346.625,9300.0,0.09204301075268816,27.0,0.029677419354838714,2.0,2.0,1.0,0
548.0,0.5,0.0,0,3,11,12,0,1221,901.2727272727273,0.0,0.0,50.0,0.0,12.0,5.0,17.0,0
557.0,0.5,0.0,0,2,5,5,0,1842,872.4,0.0,0.0,425.0,0.0,1.0,1.0,0.0,0
525.0,1.0,0.0,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
