f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,class
634.000000,1.000000,0.372000,2.000000,5.000000,15.000000,0.000000,1.000000,3891.000000,1330.466675,38500.000000,0.000000,7.000000,0.011455,0.000000,0.000000,0.000000,0
654.000000,0.900000,0.012000,0.000000,1.000000,3.000000,4.000000,0.000000,6956.000000,2717.333252,7300.000000,0.000000,18.000000,0.003425,1.000000,0.000000,0.000000,1
513.000000,0.500000,0.000000,0.000000,3.000000,8.000000,13.000000,0.000000,945.000000,775.250000,0.000000,0.000000,134.000000,0.000000,12.000000,3.000000,33.000000,0
659.000000,0.875000,0.000000,0.000000,2.000000,4.000000,1.000000,1.000000,3729.000000,1564.000000,0.000000,0.000000,21.000000,0.000000,1.000000,0.000000,0.000000,1
481.000000,0.666700,0.580000,0.000000,2.000000,4.000000,6.000000,0.000000,1037.000000,559.000000,200.000000,0.000000,29.000000,0.125000,0.000000,0.000000,8.000000,0
585.000000,0.666700,0.799000,0.000000,3.000000,3.000000,0.000000,0.000000,530.000000,329.333344,4558.000000,0.000000,36.000000,0.031812,1.000000,0.000000,0.000000,0
611.000000,0.500000,0.050000,1.000000,3.000000,3.000000,2.000000,0.000000,583.000000,333.000000,300.000000,0.000000,17.000000,0.050000,1.000000,1.000000,0.000000,1
652.000000,1.000000,0.606000,1.000000,2.000000,2.000000,0.000000,0.000000,255.000000,169.000000,2200.000000,0.000000,31.000000,0.000000,0.000000,0.000000,0.000000,1
659.000000,0.500000,0.140000,1.000000,1.000000,6.000000,0.000000,0.000000,5059.000000,3107.666748,11000.000000,0.000000,40.000000,0.003364,0.000000,0.000000,113.000000,1
586.000000,1.000000,0.943000,0.000000,2.000000,2.000000,0.000000,0.000000,330.000000,234.000000,300.000000,0.000000,23.000000,0.083333,0.000000,0.000000,0.000000,0
633.000000,0.875000,0.689000,0.000000,4.000000,6.000000,2.000000,0.000000,917.000000,636.833313,1600.000000,0.000000,15.000000,0.046875,0.000000,1.000000,3.000000,1
569.000000,1.000000,0.000000,0.000000,0.000000,1.000000,5.000000,0.000000,1171.000000,1171.000000,0.000000,0.000000,914.000000,0.000000,0.000000,0.000000,0.000000,0
597.000000,1.000000,0.136000,1.000000,4.000000,7.000000,8.000000,0.000000,2071.000000,783.285706,6400.000000,0.000000,28.000000,0.004375,0.000000,0.000000,0.000000,0
667.000000,1.000000,0.000000,0.000000,0.000000,2.000000,2.000000,0.000000,1613.000000,1449.500000,0.000000,0.000000,578.000000,0.000000,0.000000,0.000000,0.000000,0
518.000000,1.000000,0.000000,0.000000,5.000000,13.000000,13.000000,0.000000,1909.000000,978.769226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
654.000000,0.857100,0.103000,1.000000,5.000000,11.000000,13.000000,0.000000,916.000000,653.090881,12891.000000,0.000000,21.000000,0.035063,8.000000,3.000000,5.000000,0
628.000000,1.000000,0.780000,0.000000,1.000000,1.000000,0.000000,0.000000,208.000000,208.000000,400.000000,0.000000,16.000000,0.050000,0.000000,0.000000,0.000000,0
493.000000,1.000000,0.000000,0.000000,5.000000,8.000000,10.000000,0.000000,1414.000000,593.375000,0.000000,0.000000,998.000000,0.000000,0.000000,0.000000,0.000000,0
639.000000,1.000000,0.150000,1.000000,1.000000,1.000000,0.000000,0.000000,42.000000,42.000000,500.000000,0.000000,16.000000,0.050000,0.000000,0.000000,0.000000,0
674.000000,1.000000,0.239000,0.000000,8.000000,8.000000,1.000000,0.000000,459.000000,204.750000,8200.000000,0.000000,24.000000,0.008659,0.000000,0.000000,0.000000,0
663.000000,1.000000,0.000000,0.000000,3.000000,3.000000,0.000000,0.000000,688.000000,562.000000,0.000000,0.000000,16.000000,0.000000,0.000000,0.000000,0.000000,1
557.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,562.000000,0.000000,0.000000,0.000000,0.000000,0
627.000000,0.833300,0.040000,5.000000,6.000000,6.000000,0.000000,0.000000,337.000000,108.333336,6300.000000,0.000000,33.000000,0.006984,0.000000,0.000000,28.000000,1
671.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,2326.000000,2326.000000,0.000000,0.000000,873.000000,0.000000,0.000000,0.000000,0.000000,0
556.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
652.000000,1.000000,0.208000,1.000000,8.000000,12.000000,3.000000,0.000000,1250.000000,586.916687,12450.000000,0.000000,19.000000,0.004980,0.000000,0.000000,0.000000,0
480.000000,0.541700,0.000000,0.000000,0.000000,12.000000,0.000000,0.000000,10372.000000,3569.000000,2000.000000,0.561000,16.000000,0.000000,2.000000,0.000000,89.000000,1
606.000000,0.636400,0.166000,1.000000,5.000000,8.000000,0.000000,0.000000,5221.000000,1587.375000,1550.000000,0.000000,15.000000,0.016129,6.000000,3.000000,12.000000,1
638.000000,0.666700,0.845000,0.000000,2.000000,4.000000,3.000000,0.000000,948.000000,655.000000,200.000000,0.000000,50.000000,0.125000,2.000000,0.000000,0.000000,0
653.000000,1.000000,0.000000,0.000000,2.000000,6.000000,0.000000,0.000000,1313.000000,879.666687,0.000000,0.000000,281.000000,0.000000,0.000000,0.000000,0.000000,0
636.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,528.000000,0.000000,0.000000,0.000000,0.000000,0
663.000000,0.937500,0.721000,1.000000,4.000000,9.000000,0.000000,0.000000,4438.000000,1568.666626,12000.000000,0.000000,10.000000,0.016583,1.000000,1.000000,0.000000,1
571.000000,0.750000,0.000000,0.000000,4.000000,10.000000,14.000000,0.000000,1375.000000,945.799988,0.000000,0.000000,54.000000,0.000000,2.000000,1.000000,5.000000,0
550.000000,0.941200,0.401000,7.000000,13.000000,21.000000,13.000000,0.000000,2331.000000,771.952393,2700.000000,0.000000,48.000000,0.010000,4.000000,3.000000,0.000000,0
662.000000,1.000000,0.990000,0.000000,2.000000,2.000000,0.000000,0.000000,449.000000,409.000000,2500.000000,0.000000,15.000000,0.000000,0.000000,0.000000,0.000000,0
641.000000,1.000000,0.083000,0.000000,1.000000,3.000000,1.000000,0.000000,939.000000,650.000000,300.000000,0.000000,33.000000,0.083333,0.000000,0.000000,0.000000,1
661.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1549.000000,1549.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1
639.000000,1.000000,0.188000,0.000000,5.000000,6.000000,6.000000,0.000000,3817.000000,862.833313,12400.000000,0.000000,9.000000,0.014516,0.000000,0.000000,0.000000,1
687.000000,1.000000,0.126000,0.000000,11.000000,13.000000,10.000000,0.000000,1165.000000,535.615356,1800.000000,0.000000,23.000000,0.027778,0.000000,0.000000,0.000000,1
617.000000,0.727300,0.935000,0.000000,1.000000,5.000000,0.000000,0.000000,2909.000000,1671.000000,4300.000000,0.000000,31.000000,0.033953,1.000000,1.000000,2.000000,1
637.000000,1.000000,0.000000,0.000000,2.000000,2.000000,2.000000,0.000000,421.000000,304.500000,0.000000,0.000000,52.000000,0.000000,0.000000,0.000000,0.000000,0
644.000000,1.000000,0.023000,1.000000,3.000000,3.000000,0.000000,0.000000,159.000000,128.666672,800.000000,0.000000,34.000000,0.005000,0.000000,0.000000,0.000000,1
577.000000,1.000000,0.659000,0.000000,7.000000,13.000000,8.000000,0.000000,2372.000000,1031.384644,3330.000000,0.000000,10.000000,0.040841,0.000000,0.000000,0.000000,0
576.000000,0.625000,1.123000,0.000000,2.000000,11.000000,8.000000,0.000000,3970.000000,1238.909058,2300.000000,0.000000,35.000000,0.010870,6.000000,4.000000,30.000000,1
604.000000,1.000000,0.146000,0.000000,10.000000,13.000000,6.000000,0.000000,1172.000000,419.461548,5300.000000,0.000000,20.000000,0.026981,0.000000,0.000000,0.000000,0
673.000000,1.000000,0.061000,1.000000,2.000000,2.000000,0.000000,0.000000,287.000000,173.000000,950.000000,0.000000,23.000000,0.026316,0.000000,0.000000,0.000000,1
676.000000,1.000000,0.222000,1.000000,4.000000,4.000000,0.000000,0.000000,218.000000,155.500000,1450.000000,0.000000,17.000000,0.041379,0.000000,0.000000,0.000000,1
648.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,414.000000,0.000000,0.000000,0.000000,0.000000,1
552.000000,0.666700,0.000000,0.000000,2.000000,7.000000,0.000000,0.000000,2947.000000,1677.142822,0.000000,0.000000,63.000000,0.000000,3.000000,4.000000,7.000000,0
710.000000,1.000000,0.239000,1.000000,2.000000,3.000000,0.000000,0.000000,782.000000,331.666656,1400.000000,0.000000,8.000000,0.020714,0.000000,0.000000,0.000000,1
486.000000,0.714300,0.993000,0.000000,12.000000,18.000000,1.000000,0.000000,1078.000000,576.666687,4200.000000,0.000000,7.000000,0.038571,6.000000,1.000000,3.000000,0
619.000000,0.900000,0.342000,0.000000,2.000000,3.000000,0.000000,0.000000,2162.000000,846.000000,23000.000000,0.000000,77.000000,0.000000,1.000000,0.000000,0.000000,1
680.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,903.000000,903.000000,0.000000,0.000000,47.000000,0.000000,0.000000,0.000000,0.000000,1
714.000000,1.000000,0.970000,0.000000,0.000000,1.000000,0.000000,0.000000,847.000000,847.000000,1600.000000,0.000000,22.000000,0.031250,0.000000,0.000000,0.000000,0
660.000000,1.000000,0.031000,0.000000,2.000000,4.000000,4.000000,1.000000,2590.000000,1254.500000,2750.000000,0.000000,15.000000,0.009091,0.000000,0.000000,0.000000,1
595.000000,0.900000,0.000000,0.000000,6.000000,9.000000,12.000000,0.000000,3600.000000,811.333313,0.000000,0.000000,10.000000,0.000000,5.000000,2.000000,0.000000,0
616.000000,1.000000,0.014000,1.000000,3.000000,6.000000,6.000000,0.000000,2136.000000,996.000000,1100.000000,0.000000,37.000000,0.013636,0.000000,0.000000,0.000000,0
554.000000,0.945500,0.919000,2.000000,10.000000,16.000000,0.000000,0.000000,1417.000000,681.437500,9200.000000,0.000000,18.000000,0.051087,4.000000,0.000000,0.000000,0
522.000000,1.000000,0.721000,1.000000,6.000000,6.000000,6.000000,0.000000,697.000000,270.333344,750.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
519.000000,0.882400,0.000000,0.000000,1.000000,3.000000,4.000000,1.000000,1512.000000,979.333313,0.000000,0.000000,32.000000,0.000000,8.000000,6.000000,11.000000,0
678.000000,0.933300,0.147000,0.000000,7.000000,7.000000,1.000000,0.000000,643.000000,393.000000,300.000000,0.000000,12.000000,0.050000,5.000000,2.000000,0.000000,1
677.000000,0.666700,0.828000,0.000000,1.000000,9.000000,1.000000,0.000000,4024.000000,1549.444458,3500.000000,0.000000,10.000000,0.025143,6.000000,7.000000,11.000000,0
651.000000,0.888900,0.124000,1.000000,1.000000,1.000000,3.000000,0.000000,33.000000,33.000000,700.000000,0.000000,27.000000,0.042857,0.000000,0.000000,38.000000,0
686.000000,1.000000,0.000000,1.000000,1.000000,4.000000,3.000000,1.000000,5196.000000,2247.250000,0.000000,0.000000,50.000000,0.000000,0.000000,0.000000,0.000000,1
659.000000,1.000000,0.727000,0.000000,2.000000,3.000000,6.000000,0.000000,2733.000000,1224.000000,2200.000000,0.000000,12.000000,0.022727,0.000000,0.000000,0.000000,0
446.000000,1.000000,0.000000,0.000000,6.000000,8.000000,12.000000,0.000000,812.000000,308.500000,0.000000,0.000000,229.000000,0.000000,0.000000,0.000000,0.000000,0
593.000000,1.000000,1.014000,1.000000,3.000000,3.000000,0.000000,0.000000,285.000000,209.000000,7750.000000,0.000000,26.000000,0.023484,0.000000,0.000000,0.000000,0
651.000000,0.944400,0.770000,0.000000,3.000000,6.000000,2.000000,0.000000,2802.000000,1177.500000,2800.000000,0.000000,14.000000,0.023571,5.000000,2.000000,1.000000,1
635.000000,1.000000,0.873000,0.000000,2.000000,2.000000,0.000000,0.000000,302.000000,279.000000,300.000000,0.000000,27.000000,0.066667,0.000000,0.000000,0.000000,0
654.000000,1.000000,0.095000,1.000000,2.000000,3.000000,4.000000,0.000000,1168.000000,441.666656,2200.000000,0.000000,40.000000,0.025000,0.000000,0.000000,0.000000,1
520.000000,0.750000,0.000000,0.000000,3.000000,6.000000,9.000000,0.000000,1985.000000,1062.666626,0.000000,0.000000,47.000000,0.000000,2.000000,1.000000,18.000000,0
