temp,humid,light,co2,humid_ratio,occupy_status
2.518470,0.278526,1.573763,0.364948,1.091757,1
2.488967,0.277713,1.591735,0.341881,1.080555,1
2.488967,0.273645,1.573763,0.340290,1.075888,1
2.488967,0.265508,1.573763,0.323587,1.066555,1
2.439796,0.265508,1.573763,0.311655,1.049523,1
2.439796,0.265508,1.537818,0.300520,1.049523,1
2.439796,0.265508,1.537818,0.302641,1.049523,1
2.439796,0.265508,1.537818,0.294156,1.049523,1
2.439796,0.265508,1.537818,0.263400,1.049523,1
2.415210,0.260988,1.537818,0.259158,1.035863,1
2.415210,0.256468,1.537818,0.266317,1.030702,1
2.439796,0.247428,1.537818,0.268703,1.028846,1
2.439796,0.259482,1.537818,0.244841,1.042631,1
2.390625,0.256468,1.537818,0.257567,1.022230,1
2.341454,0.251948,1.537818,0.252795,1.000184,1
2.341454,0.251948,1.535251,0.235296,1.000184,1
2.341454,0.265508,-0.613726,0.238477,1.015596,0
2.287365,0.281781,-0.613726,0.249613,1.015448,0
2.287365,0.299861,-0.613726,0.249613,1.035930,0
2.233277,0.299861,-0.613726,0.262340,1.017272,0
2.233277,0.299861,-0.613726,0.263930,1.017272,0
2.233277,0.299861,-0.613726,0.262340,1.017272,0
2.233277,0.309805,-0.613726,0.268703,1.028500,0
2.233277,0.319749,-0.613726,0.259158,1.039728,0
2.233277,0.319749,-0.613726,0.263930,1.039728,0
2.134934,0.309805,-0.613726,0.262340,0.994648,0
2.134934,0.319749,-0.613726,0.251734,1.005807,0
2.134934,0.319749,-0.613726,0.255976,1.005807,0
2.134934,0.319749,-0.613726,0.259158,1.005807,0
2.090680,0.319749,-0.613726,0.201888,0.990602,0
2.046426,0.313120,-0.613726,0.197646,0.968036,0
2.046426,0.319749,-0.613726,0.201888,0.975434,0
2.046426,0.319749,-0.613726,0.192343,0.975434,0
2.013645,0.306490,-0.613726,0.184389,0.949456,0
2.046426,0.337830,-0.613726,0.201888,0.995613,0
1.948083,0.306490,-0.613726,0.202949,0.927153,0
1.948083,0.299861,-0.613726,0.208251,0.919800,0
