f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,label
-0.955553,-0.333747,1.819215,0.455082,-0.804917,-0.774128,0.323758,-0.299577,0.518923,0.598791,-1.126496,-1.226211,-1.521658,0.842033,0.843758,1
0.411189,-1.134132,-1.051257,0.548154,0.614027,0.299793,0.520395,-2.525210,0.649520,0.022828,0.018752,0.097460,1.530385,-0.836081,2.112118,0
1.229303,0.539434,-0.508210,-1.112128,-0.842196,-0.655036,0.041598,1.737224,-0.617644,0.303736,0.527273,0.280578,0.206162,-1.247389,0.192260,0
-1.140023,-1.017494,-0.541286,-2.153801,0.611259,0.896059,0.214281,-1.418381,-0.947227,0.324852,-0.196891,-0.574640,1.000696,1.821566,1.145325,1
1.077522,-0.330051,2.048143,-0.670012,-0.602506,-0.453594,1.826788,0.294904,-0.690763,-0.120750,-1.246483,1.151494,-1.735561,-0.159583,0.568974,0
1.820056,-1.827629,-1.353768,-0.711568,-0.628835,0.590511,0.988745,0.626503,0.610824,-0.525556,-0.150764,0.536857,2.150903,-0.531810,-0.842429,0
0.869715,1.362738,2.464069,0.687935,0.835458,-0.336595,2.191473,-0.196908,-0.493339,1.151793,-0.661198,1.471851,-2.951445,-1.110256,0.933112,1
-1.311091,0.312615,-0.726523,-1.132890,1.386170,0.067763,-1.370644,-1.454354,1.475136,-1.004063,0.535315,0.497663,0.519705,-1.265753,-0.666021,0
-0.675223,1.614048,-1.558399,1.154659,-1.329478,-0.885055,-2.080071,-0.394939,0.222783,1.200849,1.597752,1.495218,0.651858,-0.251810,-0.872242,0
0.364513,1.282615,0.029320,-0.513320,-0.482561,-0.063282,-0.679770,1.844249,-1.028291,-1.768479,0.595473,-2.254164,-0.656466,-0.579379,-0.745449,0
-0.101935,-1.039725,-0.839412,-0.647894,2.003827,0.287674,1.619035,0.044141,-0.369586,-0.499710,-0.048934,0.240736,1.287802,0.680988,1.182741,0
