f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,label
-0.270184,0.350541,-0.301293,0.548549,-0.598244,-1.255039,0.778371,-1.303941,-1.420209,-1.247780,0
-0.490393,0.369335,-0.153714,1.031260,-0.871519,-1.014563,0.634530,1.507126,-1.061781,-0.846068,0
0.017812,-0.869646,-0.999255,-0.588583,0.237579,1.263106,0.071297,2.469632,0.178231,-1.101708,0
-0.018610,0.128230,-0.751341,-0.438190,1.628445,-1.468787,-1.770935,1.076613,-2.045093,-2.182004,0
-0.036959,0.606551,-0.421212,1.896758,-0.367817,0.560406,-2.071955,-0.650202,0.100334,-0.448742,0
1.402285,0.629419,1.239341,0.385601,2.126131,-1.910312,1.288233,0.129414,-0.530754,1.174028,1
0.283463,1.161557,-1.077711,0.295637,2.124229,-1.439183,-0.173440,-1.181822,-2.331916,-2.756168,0
3.052392,1.788296,0.002478,-0.125702,0.754357,-0.687821,-0.717491,0.033825,-0.617352,-0.380484,0
0.425887,1.135673,-0.603362,-0.467720,0.981240,1.123004,0.514895,-0.907268,0.432274,-0.463553,0
-0.383986,0.966579,-0.159783,-0.541233,2.292065,1.178378,0.366337,-0.176944,0.908248,0.370322,1
-0.659389,0.952437,0.722719,0.664938,0.569982,0.796402,1.274981,-0.645871,1.411775,1.753869,1
-0.760288,0.309973,-0.275863,0.710201,-1.851458,-0.908841,0.036211,1.071701,-1.083855,-1.007987,0
0.966917,-1.177917,1.654452,-1.151160,0.123401,-2.310855,-0.264552,-1.830472,-0.492910,1.701202,1
-0.339552,1.187048,-0.464032,-0.330183,-0.714816,-1.125357,-0.145988,-0.057956,-1.459684,-1.469757,0
1.028348,-0.095300,-0.603784,2.117488,0.593160,1.362408,0.778674,-0.740246,0.647574,-0.330324,1
-0.212410,-0.132122,-0.690525,-0.880142,0.539982,1.060560,0.362228,-0.513812,0.292287,-0.656267,0
1.235681,1.510564,0.112279,0.862426,-1.905922,1.053078,-0.387508,-1.982638,1.056682,0.792628,1
0.268006,1.537742,-0.111361,-0.108947,0.523089,0.954435,0.463020,0.031333,0.752986,0.332627,1
-0.582536,1.077821,0.980123,0.695099,-0.801015,-2.203385,0.891224,0.235058,-1.043807,0.540811,1
-0.406714,2.359351,-1.521167,-0.822923,0.049628,0.953130,2.252603,-0.629072,-0.602385,-2.219865,1
-0.122207,-0.894068,-1.582184,0.094815,-1.900038,-2.195191,0.643863,0.349871,-3.497659,-4.092402,0
1.053604,-1.741749,0.055049,0.237288,-0.454868,-0.624947,-0.831486,2.688006,-0.510205,-0.250140,1
0.961223,1.735210,-0.300200,-0.239810,0.100762,-1.051771,-0.012653,0.089922,-1.236013,-1.132033,0
-0.221267,-1.693572,1.990169,0.961758,-1.297062,-3.529468,0.190336,-0.433909,-1.268416,1.626802,1
0.496502,1.238729,-1.142497,0.411146,-0.537565,0.315472,0.050010,-1.957311,-0.813187,-1.891362,0
-0.605865,0.196746,0.318498,-0.724393,0.376682,-0.237065,1.235611,0.000714,0.092337,0.443800,1
-0.963786,2.126667,0.141585,0.322822,1.480222,-1.099605,-0.499328,-1.642743,-0.854754,-0.359173,0
-1.097685,-1.297164,-0.198838,2.452686,0.835796,0.272736,-0.233407,-1.845202,0.054743,-0.207250,0
-0.312962,-1.000762,-1.764437,2.312920,-0.460980,1.710091,-0.760001,-0.498416,-0.154030,-2.236520,1
-2.189648,0.304106,0.489344,0.804720,-1.234831,0.012990,0.934614,0.034993,0.481745,0.892987,1
-0.280265,-1.689895,-1.056055,1.478585,-0.016682,1.335940,-1.450089,-0.176835,0.189296,-1.163751,0
0.450400,0.921569,0.033427,0.585595,1.507709,-1.126332,0.531296,0.093845,-0.982726,-0.569897,0
0.844700,0.171364,0.415987,0.269105,0.755513,0.933563,1.032233,0.779573,1.240726,1.275450,1
-1.405299,0.634199,-1.295884,-0.501732,-2.428206,0.399153,1.653717,0.092561,-0.885126,-2.122157,1
-1.286983,-1.555592,-0.250706,0.735139,0.190222,1.191468,0.243412,-0.480897,0.832706,0.213077,1
0.862687,1.003423,0.334279,0.103178,0.349411,0.960727,-0.147550,-0.279474,1.186716,1.142760,1
-0.831859,-0.008888,-0.176782,-1.687044,0.314752,1.184704,-1.492646,-0.927909,0.897620,0.343095,1
-0.694331,-0.125456,1.701851,-0.235009,-0.186111,0.360804,-0.150239,0.300480,1.959807,3.282305,1
-1.112337,-0.660406,-0.454463,-0.386630,-0.750944,-1.060264,-0.210378,-0.186955,-1.391843,-1.416005,0
0.670538,-0.373104,-1.017342,-0.017292,1.987402,-1.289470,2.280225,-0.313070,-2.139036,-2.563107,0
1.101084,-0.820406,0.401556,-1.606674,3.149222,-0.306407,-0.293658,1.254188,0.109641,0.555326,1
-1.155827,0.902319,0.176142,1.289601,1.491914,-0.438110,-0.098002,-1.965188,-0.225547,0.073612,1
-2.520629,-0.331786,-0.671987,-0.781677,-0.458552,1.392546,1.960024,-0.750305,0.609216,-0.436904,1
-0.933899,-0.069474,0.397170,-1.292731,0.896492,0.930762,-0.781001,-0.050639,1.220128,1.239823,1
-0.841233,2.040538,0.262416,0.031821,-0.647356,-0.567713,0.140675,-0.476334,-0.259450,0.157229,0
0.399135,0.481615,0.193423,0.426752,1.408929,1.013868,-0.228195,-0.198498,1.099297,0.917553,1
0.280857,-0.611091,0.431725,-0.963118,-2.283535,-0.518616,-0.847398,0.677668,-0.052582,0.491160,0
-0.974535,-0.356997,-1.226014,-0.172043,1.403050,1.104219,1.788556,0.564230,-0.182742,-1.601071,0
-0.124316,0.525011,-0.788233,0.930513,-0.769193,0.536043,-0.068650,1.088830,-0.274161,-1.126689,0
-1.073874,0.436040,-0.817910,-0.696886,0.771213,-1.482519,-1.576860,0.893152,-2.121409,-2.310181,0
-1.965415,-0.384042,0.329243,-0.746773,0.510587,0.965290,-1.693256,1.075017,1.185990,1.136199,1
2.519816,2.057448,1.028558,0.783205,0.029962,-0.004835,1.314675,0.932226,0.983629,1.858994,1
0.057960,-0.518580,0.175573,1.060194,-0.451821,1.019584,-0.466041,0.375492,1.087302,0.888444,1
0.243219,0.139567,1.207062,-0.313465,-1.319208,-1.459051,-0.778977,0.845228,-0.155168,1.368173,1
-1.147626,0.128865,0.874274,-0.256848,-2.073940,0.722072,-0.510047,-0.064098,1.490380,1.986583,1
-0.864786,0.742211,-0.454551,0.267116,1.600579,1.333579,-0.007278,0.600268,0.764945,-0.076346,1
0.484109,-0.829562,-1.120138,-0.219227,-1.941212,1.521737,-0.186864,0.249535,0.295145,-1.175754,0
-0.648875,-0.139740,1.078325,0.985314,0.947285,-0.462577,0.778117,1.419596,0.619003,1.692876,1
-0.076086,-1.016707,2.263211,0.159884,0.691936,-1.839367,0.354118,0.182078,0.516652,3.066951,1
1.250683,1.145648,-1.106554,0.910835,1.314082,1.059293,0.598408,-0.236902,-0.108472,-1.409993,0
0.065682,0.157643,-0.246381,0.467519,-0.250376,1.261135,-0.354342,0.198655,0.899632,0.259898,0
-0.025711,0.421816,0.397364,-0.275952,0.892236,-1.723115,-1.593955,1.266320,-1.170852,-0.245184,1
-0.428554,-1.693855,1.469727,-0.722292,-0.699852,-1.838915,-2.679962,-0.276700,-0.245126,1.630990,1
-0.787010,-0.132201,-0.313036,0.171406,-0.291823,-0.853499,0.976304,-1.655494,-1.069698,-1.044295,0
-1.105198,-0.384874,0.744916,-1.113598,1.231209,-1.648554,0.933096,-0.147243,-0.769829,0.425619,1
